"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"New York","NY","New York","Kings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4995,4800,4950,4800,4500,4500,4500,4500,4600,4800,4900,5000,5000,4597,4800,4600,4450,4499,4749.5,4800,5250,5000,5200,5500,5500,5500,5500,5500,5000,4612.5,4500,4500,4322
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972.5,3799.5,3995,4495,4450,4500,4750,4500,4700,4500,4495,4250,4500,4495,4500
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3825,3500,3500,3150,3200,3475,3500,3450,3750,3500,3500,3195,3700,3500,3800,3800,3700,3150,3550,3300,3150,2900,3250,3442.5,3250,3200,3200,3700,3800,3800,3269,3025,3150
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,2300,2500,2500,2500,2750,2500,2500,2450,2400,2300,2300,2095,2037.5,2400,2562.5,2500,2500,2500,2625,2500,2500,2400,2250,2300,2250,2612.5,2637.5,2700,2700,2625,2550,2600,2500,2570,2500,2500,2612.5,2700,2600,2600,2625,2600,2550,2500,2500,2500,2500,2450,2762.5,2985,2762.5,2675,2750,2700,2700,2725,2600,2500,2500,2500,2875,2875,2825,2875,2750
"Las Vegas","NV","Las Vegas","Clark",5,,1795,1800,1900,1795,1800,1895,1900,1895,1950,1972.5,1985,1900,1795,1850,1699.5,1650,1650,1650,1675,1700,1650,1650,1650,1650,1699,1700,1700,1700,1695,1725,1749.5,1800,1797.5,1700,1700,1700,1750,1750,1775,1800,1795,1800,1800,1800,1785,1795,1799.5,1795,1800,1850,1842.5,1875,1945,1895,1900,1900,1807.5,1850,1935,1897.5,1989,1995,1995,2000,2100,1900,1950,1995,1995,1995,1895,1900,1980,2000,2100,2200,2100,2067.5,2100,2000,2000,2010,2095,2100,2100
"San Antonio","TX","San Antonio","Bexar",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.5,1995,1875,2050,2050,2000,1995,1997.5,1950,1995,1995,1895,1922.5,1995,1997.5,2000,2122.5
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4950,5200,4900,4500,4950,5197.5,5150,5200,4750,4800,5000,4900,5500,5200
"San Jose","CA","San Jose","Santa Clara",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,4372.5,4200,4395,4700,4700,4300,4275,4200,4200,4050,4197.5,4185,4100
"Jacksonville","FL","Jacksonville","Duval",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1825,1650,1755,1925,1995,1972.5,2045,1995,1995,1995,1972.5,1995,1659.5
"Charlotte","NC","Charlotte","Mecklenburg",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095,2185,2175,2249,2200,2197,2262.5,2147.5,2122.5,1995,2045,2022,2085,2050
"Boston","MA","Boston","Suffolk",11,,,,,,,,,,,,,3900,3657.5,3800,3900,3900,3900,3800,3800,3900,3900,3850,4000,4200,4000,3997,3900,3900,3900,3900,3750,3800,3900,3985,4100,4200,4199,4200,4200,4000,3975,3850,3850,3900,4000,3999.5,4200,4400,4275,4200,4000,4000,3950,3800,3800,3800,3675,4000,4200,4500,4500,4400,4200,4200,4000,4000,4000,4000,3975,3900,4300,4550,4500,4500,4400,4400,4300,4300,4250,4200,4100,4500,4800,4800,4800
"Seattle","WA","Seattle","King",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3200,2850,2675,2550,2995,2995,3297.5,3600,3600,3300,3750,3675,3200,2917.5,2650,2695,2595,2922.5,2997.5
"Milwaukee","WI","Milwaukee","Milwaukee",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,912.5,980,1047.5,997.5,1025,1000,997.5,1037.5,950,997.5,925,895,950
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095,2172.5,2245,2300,2300,2272.5,2100,2100,2275,2050,2250,2249,2200
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",15,,,,,,,,,,,,,,,,,2400,2200,2250,2150,2200,2100,2125,2200,2200,2100,2095,2200,2300,2395,2250,2100,1995,2100,2295,2100,1900,2040,2100,2275,2300,2347.5,2300,2195,2347.5,2295,2200,2200,2297.5,2100,2150,2395,2395,2295,2125,2100,2097.5,2100,2100,2100,2200,2250,2495,2400,2350,2250,2395,2372.5,2347.5,2300,2095,2100,2250,2200,2275,2195,2550,2400,2462.5,2337.5,2367.5,2297.5,2200,2297.5,2200,2295
"Colorado Springs","CO","Colorado Springs","El Paso",16,,,,1900,1850,1960,1612.5,1582.5,1595,1595,1622.5,1595,1595,1512.5,1700,1972.5,1797.5,1685,1650,1700,1647.5,1650,1625,1600,1650,1650,1695,1795,1795,1675,1600,1650,1697,1650,1600,1672.5,1650,1672.5,1695,1700,1800,1850,1895,1895,1795,1750,1750,1700,1799,1799,1800,1950,1995,1950,1875,1897.5,1897.5,1885,1862.5,1800,1895,1872.5,1850,1850,1950,1900,1995,1950,1812.5,1872.5,1895,1972.5,1995,2050,2047.5,2125,2200,2150,2050,1995,2000,1972.5,1950,1897.5,2100,2195
"Cleveland","OH","Cleveland","Cuyahoga",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,825,800,850,850,825,825,800,795,775,720,725
"Honolulu","HI","Urban Honolulu","Honolulu",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397.5,2599,2400,2450,2545,2500,2500,2595,2700,2595,2500,2450,2485,2500
"Anchorage","AK","Anchorage","Anchorage",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1600,1675,1797.5,1750,1775,1675,1565,1595,1625,1600,1695,1695
"Plano","TX","Dallas-Fort Worth","Collin",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2550,2500,2500,2499,2600,2500,2495,2495,2550,2525,2497.5,2495,2492.5
"Buffalo","NY","Buffalo","Erie",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,675,663,650.5,725,700,700,655,725,762.5,750,750,750,762.5,800,772.5,772.5,750,750,800,800,800,800,800,800,900,900,985,900,1000,975,850,875,875,850,862.5,900,950,950,975,1000,1000,950,975,950,950,950,950,950
"Henderson","NV","Las Vegas","Clark",22,,,,,,,2297.5,2200,2100,2125,2172.5,2197.5,2100,2200,2250,2300,2147.5,2097.5,2050,2050,1900,1995,2074.5,2099.5,2200,2147.5,2050,2100,2045,2200,2200,2200,2195,2100,2195,2150,2100,2100,2029,2000,2037.5,2000,1997.5,2000,2000,1997.5,1950,2195,2025,2299.5,2100,2225,2395,2300,2400,2200,2245,2122.5,2000,2095,2095,2005,2112.5,2200,2100,2315,2250,2391,2100,2295,2400,2095,2195,2246,2295,2395,2340,2400,2410,2250,2200,2200,2275,2195,2250,2250
"Orlando","FL","Orlando","Orange",23,,,,,,,,,,,,,,,1775,1775,1795,1795,1800,1872.5,1945,1800,1795,1825,1775,1820,1780,1895,1850,1850,1850,1895,1900,1895,1895,1895,1850,1800,1800,1800,1850,1895,1895,1825,1800,1895,1895,1800,1800,1825,1850,1860,1895,1995,2000,1995,1995,1995,1900,1950,1950,1980,1950,2012.5,1962.5,1995,1995,1998,2095,2100,1924.5,1995,2025,2120,1995,2059,2095,2125,2200,2150,2107,2100,2095,2100,2100,2125
"Chesapeake","VA","Virginia Beach","Chesapeake City",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2200,2300,2395,2300,2250,2250,2250,2280,2272.5,2295,2250
"North Las Vegas","NV","Las Vegas","Clark",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.5,1572.5,1650,1645,1750,1647.5,1632.5,1672.5,1700,1700,1695,1750,1697,1650,1675,1675
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999.5,5500,5300,5000,5000,5200,5200,5250,5250,5500,5700,5935,5927.5,6000
"Rancho Cucamonga","CA","Riverside","San Bernardino",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,2915,3000,3200,3125,3200,3200,3000,3000,3000,2950,3000
"Sugar Land","TX","Houston","Fort Bend",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2850,2775,2800,2880,2900,2900,2800,2800,2800,2800,2800,2800,2900
"New Haven","CT","New Haven","New Haven",29,,,,,,1150,1175,1162.5,1195,1222.5,1190,1112.5,1200,1125,1100,1225,1200,1200,1200,1200,1200,1112.5,1150,1150,1150,1150,1200,1162.5,1100,1162.5,1175,1200,1200,1125,1100,1100,1195,1162.5,1150,1200,1112.5,1192.5,1250,1200,1200,1200,1200,1185,1200,1200,1200,1212.5,1287.5,1275,1262.5,1350,1200,1200,1250,1225,1200,1200,1287.5,1337.5,1197.5,1325,1350,1250,1200,1287.5,1200,1260,1212.5,1262.5,1450,1550,1475,1372.5,1300,1300,1320,1387.5,1375,1350,1397.5,1500
"Bellevue","WA","Seattle","King",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3537.5,3975,3495,3775,3500,3450,3494.5,3272.5,2999.5,3000,3300,3400
"Bloomington","IN","Bloomington","Monroe",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,3000,2925,2825,2950,2900,2950,3375,3200,2825,3000,3062.5,3000,2800
"Frisco","TX","Dallas-Fort Worth","Collin",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2595,2595,2750,2750,2725,2750,2925,2995,2999.5,2995,2995,2900,2800,2875,2825
"Waterbury","CT","New Haven","New Haven",33,797.5,800,775,775,762.5,750,725,725,750,800,800,800,800,800,800,800,800,775,775,800,775,762.5,795,795,762.5,775,795,800,800,800,800,825,800,800,825,800,800,800,800,800,800,825,812.5,800,825,850,850,839.5,825,850,850,837.5,837.5,850,875,850,825,850,850,850,850,850,825,825,800,825,800,825,825,825,825,825,825,850,850,825,850,850,850,850,850,837.5,825,825,850,850
"Temecula","CA","Riverside","Riverside",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2700,2600,2647.5,2597.5,2672.5,2747.5,2700,2700,2800,2797.5,2695,2600
"Murrieta","CA","Riverside","Riverside",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2295,2350,2350,2350,2395,2395,2400,2425,2472.5,2397.5,2425,2395,2395,2425
"Cambridge","MA","Boston","Middlesex",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4749,4600,4549.5,4557.5,4500,4350,4250,4200,4250,4500,4500,4900
"Newton","MA","Boston","Middlesex",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,4950,4800,4600,4600,4550,4500,4700,4800,4500,4500,4500,4500
"Somerville","MA","Boston","Middlesex",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3825,3800,4000,3700,3600,3700,3200,3200,3200,3750,3825,4200,4000,4000,3900,3500,3500,3295,3200,3200,3200,3700
"West Hartford","CT","Hartford","Hartford",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1425,1400,1450,1700,1572.5,1500,1525,1450,1475,1450,1500
"Medford","MA","Boston","Middlesex",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3200,3500,3500,3300,2974.5,3500,3875,3800,3300,3400,3500
"Eastvale","CA","Riverside","Riverside",41,,,,,2495,2495,2472.5,2400,2472.5,2500,2500,2497.5,2500,2500,2495,2487,2400,2450,2500,2500,2450,2499,2499.5,2450,2495,2450,2400,2400,2450,2425,2500,2500,2500,2480,2450,2450,2495,2500,2495.5,2497.5,2500,2500,2500,2500,2500,2450,2475,2500,2500,2500,2597.5,2550,2600,2597.5,2600,2600,2600,2600,2650,2600,2600,2600,2650,2595,2600,2647.5,2625,2685,2685,2695,2780,2695,2725,2750,2800,2765,2765,2800,2800,2800,2795,2785,2750,2797.5,2800,2799
"Mc Lean","VA","Washington","Fairfax",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,4925,4500,4550,4500,4450,4400,4400,4500,4500,4050,4100
"Doral","FL","Miami-Fort Lauderdale","Miami-Dade",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4200,4400,4100,3999,4050,4550,4500,4500,4500,4500,4675,4400,4350
